"Employee ID,Last Name,First Name,Date of Hire,Date of Birth,Age,Gender,Rating,Years of Service,Vacation Days,Units Made,Units Rejected,Days Absent ,Department,Salary"
"103540,Abbar,Anas,31222,21474,61.4876712328767,F,B,34.8931506849315,30,16309,2370,1,4302,91000"
"100170,Abercrombie,Kim,31131,20117,65.2054794520548,F,B,35.1424657534247,30,19089,2815,4,5894,50000"
"109688,Ackerman,Pilar,32624,18541,69.5232876712329,F,C,31.0520547945205,30,20643,3063,1,5894,31000"
"106182,Adell,Jeff,33270,23732,55.3013698630137,F,E,29.2821917808219,25,15523,2244,3,4308,48000"
"112753,Akers,Kim,29004,21283,62.0109589041096,F,D,40.9698630136986,30,17939,2471,0,4303,47000"
"107289,Akhtar,Sarah,32796,25680,49.9643835616438,F,D,30.5808219178082,30,13602,1937,3,5894,90000"
"109821,Alboucq,Steve,33615,23525,55.8684931506849,F,E,28.3369863013699,25,15728,2277,4,4308,100000"
"117873,Alexander,Sean,36713,22935,57.4849315068493,M,A,19.8493150684932,15,16309,2290,4,4308,29000"
"111713,Alvardo,Marion,38404,27845,44.0328767123288,F,A,15.2164383561644,15,14851,3126,4,6007,53000"
"107083,Anderson,Charlie,33705,25873,49.4356164383562,F,A,28.0904109589041,25,12691,1631,4,4308,59000"
"114964,Anderson,Amy,38874,27931,43.7972602739726,M,E,13.9287671232877,10,11382,1422,0,4509,48000"
"106538,Ansari,Zachary,32138,18897,68.5479452054795,M,E,32.3835616438356,30,15686,2349,2,6007,89000"
"105978,Atkinson,Teresa,32239,22295,59.2383561643836,F,A,32.1068493150685,30,16941,2471,4,4372,55000"
"102558,Bacon,Dan,27202,18033,70.9150684931507,M,D,45.9068493150685,30,21144,3144,4,4509,62000"
"115418,Baldwin,Amie,38463,28453,42.3671232876712,F,C,15.0547945205479,15,10867,1499,3,4308,100000"
"104293,Balke,Wendy,38281,28109,43.3095890410959,F,E,15.5534246575342,15,15058,1058,2,6007,82000"
"114262,Barbariol,Angela,35111,23485,55.9780821917808,F,D,24.2383561643836,20,15767,2123,4,4509,92000"
"107771,Barnhill,Josh,28332,20009,65.5013698630137,M,E,42.8109589041096,30,19195,2832,4,4312,83000"
"109058,Barr,Adam,34159,21648,61.0109589041096,M,A,26.8465753424658,25,17579,2573,4,4372,66000"
"117872,Barrett,Holly,34772,25598,50.1890410958904,F,A,25.1671232876712,25,12963,2047,2,4302,65000"
